,ID,DateTime,Ticker,Close,Close_1
35,2023.04.25 16:26:00-CASH3,2023-04-25 16:26:00+00:00,CASH3,0.84,0.85
36,2023.04.25 16:27:00-CCRO3,2023-04-25 16:27:00+00:00,CCRO3,13.07,13.08
37,2023.04.25 16:26:00-CCRO3,2023-04-25 16:26:00+00:00,CCRO3,13.08,13.09
38,2023.04.25 16:27:00-CIEL3,2023-04-25 16:27:00+00:00,CIEL3,5.07,5.08
39,2023.04.25 16:26:00-CIEL3,2023-04-25 16:26:00+00:00,CIEL3,5.08,5.08
40,2023.04.25 16:27:00-CMIG4,2023-04-25 16:27:00+00:00,CMIG4,12.45,12.45
41,2023.04.25 16:26:00-CMIG4,2023-04-25 16:26:00+00:00,CMIG4,12.45,12.45
42,2023.04.25 16:27:00-CMIN3,2023-04-25 16:27:00+00:00,CMIN3,4.26,4.25
43,2023.04.25 16:26:00-CMIN3,2023-04-25 16:26:00+00:00,CMIN3,4.25,4.25
44,2023.04.25 16:27:00-COGN3,2023-04-25 16:27:00+00:00,COGN3,1.95,1.95
45,2023.04.25 16:26:00-COGN3,2023-04-25 16:26:00+00:00,COGN3,1.95,1.95
46,2023.04.25 16:27:00-CPFE3,2023-04-25 16:27:00+00:00,CPFE3,33.85,33.87
47,2023.04.25 16:26:00-CPFE3,2023-04-25 16:26:00+00:00,CPFE3,33.87,33.86
48,2023.04.25 16:27:00-CPLE6,2023-04-25 16:27:00+00:00,CPLE6,7.85,7.84
49,2023.04.25 16:26:00-CPLE6,2023-04-25 16:26:00+00:00,CPLE6,7.84,7.85
50,2023.04.25 16:27:00-CRFB3,2023-04-25 16:27:00+00:00,CRFB3,10.53,10.53
51,2023.04.25 16:26:00-CRFB3,2023-04-25 16:26:00+00:00,CRFB3,10.53,10.53
52,2023.04.25 16:27:00-CSAN3,2023-04-25 16:27:00+00:00,CSAN3,15.08,15.09
53,2023.04.25 16:26:00-CSAN3,2023-04-25 16:26:00+00:00,CSAN3,15.09,15.1
54,2023.04.25 16:27:00-CSNA3,2023-04-25 16:27:00+00:00,CSNA3,13.58,13.58
55,2023.04.25 16:26:00-CSNA3,2023-04-25 16:26:00+00:00,CSNA3,13.58,13.58
56,2023.04.25 16:27:00-CVCB3,2023-04-25 16:27:00+00:00,CVCB3,2.79,2.79
57,2023.04.25 16:26:00-CVCB3,2023-04-25 16:26:00+00:00,CVCB3,2.79,2.79
